alpha,Cl
-1.862934816,0.210270204
-1.222930402,0.272024897
-0.64060946,0.326549847
-0.060245803,0.387415375
0.550771226,0.446027023
1.162662751,0.501805765
1.759050882,0.563392006
2.32358908,0.622892107
2.961383701,0.691805368
3.539766586,0.759087553
4.120043256,0.820234869
4.761125881,0.878496725
5.400561553,0.942093845
6.042105641,0.998860803
6.683273259,1.05684733
7.325173036,1.112462043
7.969974771,1.158675943
8.615460898,1.202672769
9.263261207,1.239172868
9.910961706,1.275996295
10.56065358,1.306368707
11.21366638,1.325983072
11.88270818,1.332490697
12.52881739,1.335650286
12.94792278,1.336626233
