Root (ft),Chord (ft),Beta (deg)
0.75,0.0836,83.40458168
1.0625,0.1614,79.99488548
1.375,0.2572,76.6677815
1.6875,0.3645,73.44180864
2,0.4772,70.33185871
2.3125,0.5894,67.34906171
2.625,0.696,64.50091921
2.9375,0.7928,61.79162341
3.25,0.8769,59.22249333
3.5625,0.9459,56.79246539
3.875,0.9984,54.49858785
4.1875,1.0334,52.33648385
4.5,1.0504,50.30076156
4.8125,1.0486,48.38536179
5.125,1.0274,46.58384152
5.4375,0.9856,44.88959732
5.75,0.9207,43.29603551
6.0625,0.8285,41.79669724
6.375,0.6998,40.38534655
6.6875,0.51,39.05602904
7,0,37.80310765
